size,avg_time,algo
2,0.005171428571428572,conv
2,0.003528571428571429,strassenSeuil
2,0.032519047619047614,strassen
4,0.0063857142857142845,conv
4,0.004438095238095238,strassenSeuil
4,0.19124285714285713,strassen
8,0.015276190476190478,conv
8,0.012009523809523808,strassenSeuil
8,1.1536619047619046,strassen
16,0.040419047619047625,conv
16,0.03695238095238095,strassenSeuil
16,7.309404761904762,strassen
32,0.2382904761904762,conv
32,0.47113809523809524,strassenSeuil
32,49.67776666666666,strassen
64,1.699452380952381,conv
64,3.6907809523809525,strassenSeuil
64,339.76,strassen
128,13.731757142857145,conv
128,24.256690476190474,strassenSeuil
128,2243.2680952380947,strassen
256,107.33914285714285,conv
256,177.7127619047619,strassenSeuil
256,15480.480952380954,strassen
