algo1,taille1,temps1,f1,rapport1,algo2,taille2,temps2,f2,rapport2,algo3,taille3,temps3,f3,rapport3
conv ,4,0.0115,48.97589663,2.35E-04,strassen ,4,0.2976,48.97589663,6.08E-03,strassenAvecLimite ,4,0.0077,48.97589663,1.57E-04
conv ,4,0.0105,48.97589663,2.14E-04,strassen ,4,0.3532,48.97589663,7.21E-03,strassenAvecLimite ,4,0.0088,48.97589663,1.80E-04
conv ,4,0.0393,48.97589663,8.02E-04,strassen ,4,0.4578,48.97589663,9.35E-03,strassenAvecLimite ,4,0.0089,48.97589663,1.82E-04
conv ,4,0.0112,48.97589663,2.29E-04,strassen ,4,0.7595,48.97589663,1.55E-02,strassenAvecLimite ,4,0.0099,48.97589663,2.02E-04
conv ,4,0.0125,48.97589663,2.55E-04,strassen ,4,0.3253,48.97589663,6.64E-03,strassenAvecLimite ,4,0.0116,48.97589663,2.37E-04
conv ,4,0.0114,48.97589663,2.33E-04,strassen ,4,0.338,48.97589663,6.90E-03,strassenAvecLimite ,4,0.0085,48.97589663,1.74E-04
conv ,4,0.0123,48.97589663,2.51E-04,strassen ,4,0.3587,48.97589663,7.32E-03,strassenAvecLimite ,4,0.008,48.97589663,1.63E-04
conv ,4,0.0154,48.97589663,3.14E-04,strassen ,4,0.5818,48.97589663,1.19E-02,strassenAvecLimite ,4,0.0088,48.97589663,1.80E-04
conv ,4,0.0141,48.97589663,2.88E-04,strassen ,4,0.3614,48.97589663,7.38E-03,strassenAvecLimite ,4,0.0092,48.97589663,1.88E-04
conv ,4,0.0125,48.97589663,2.55E-04,strassen ,4,0.4022,48.97589663,8.21E-03,strassenAvecLimite ,4,0.0079,48.97589663,1.61E-04
conv ,4,0.0118,48.97589663,2.41E-04,strassen ,4,0.3463,48.97589663,7.07E-03,strassenAvecLimite ,4,0.0079,48.97589663,1.61E-04
conv ,4,0.0104,48.97589663,2.12E-04,strassen ,4,0.356,48.97589663,7.27E-03,strassenAvecLimite ,4,0.0087,48.97589663,1.78E-04
conv ,4,0.0152,48.97589663,3.10E-04,strassen ,4,0.3543,48.97589663,7.23E-03,strassenAvecLimite ,4,0.0084,48.97589663,1.72E-04
conv ,4,0.0131,48.97589663,2.67E-04,strassen ,4,0.3767,48.97589663,7.69E-03,strassenAvecLimite ,4,0.0075,48.97589663,1.53E-04
conv ,4,0.0125,48.97589663,2.55E-04,strassen ,4,0.4225,48.97589663,8.63E-03,strassenAvecLimite ,4,0.0094,48.97589663,1.92E-04
conv ,4,0.0113,48.97589663,2.31E-04,strassen ,4,0.3617,48.97589663,7.39E-03,strassenAvecLimite ,4,0.0082,48.97589663,1.67E-04
conv ,4,0.0121,48.97589663,2.47E-04,strassen ,4,0.3543,48.97589663,7.23E-03,strassenAvecLimite ,4,0.0102,48.97589663,2.08E-04
conv ,4,0.0124,48.97589663,2.53E-04,strassen ,4,0.336,48.97589663,6.86E-03,strassenAvecLimite ,4,0.0084,48.97589663,1.72E-04
conv ,4,0.0144,48.97589663,2.94E-04,strassen ,4,0.3668,48.97589663,7.49E-03,strassenAvecLimite ,4,0.0105,48.97589663,2.14E-04
conv ,4,0.0122,48.97589663,2.49E-04,strassen ,4,0.3562,48.97589663,7.27E-03,strassenAvecLimite ,4,0.0092,48.97589663,1.88E-04
conv ,4,0.0109,48.97589663,2.23E-04,strassen ,4,0.3542,48.97589663,7.23E-03,strassenAvecLimite ,4,0.0077,48.97589663,1.57E-04
conv ,4,0.0113,48.97589663,2.31E-04,strassen ,4,0.3369,48.97589663,6.88E-03,strassenAvecLimite ,4,0.0084,48.97589663,1.72E-04
conv ,4,0.0137,48.97589663,2.80E-04,strassen ,4,0.3995,48.97589663,8.16E-03,strassenAvecLimite ,4,0.008,48.97589663,1.63E-04
conv ,4,0.0114,48.97589663,2.33E-04,strassen ,4,0.3711,48.97589663,7.58E-03,strassenAvecLimite ,4,0.008,48.97589663,1.63E-04
conv ,4,0.0158,48.97589663,3.23E-04,strassen ,4,0.3761,48.97589663,7.68E-03,strassenAvecLimite ,4,0.0097,48.97589663,1.98E-04
conv ,4,0.0144,48.97589663,2.94E-04,strassen ,4,0.4303,48.97589663,8.79E-03,strassenAvecLimite ,4,0.0087,48.97589663,1.78E-04
conv ,4,0.0147,48.97589663,3.00E-04,strassen ,4,0.6929,48.97589663,1.41E-02,strassenAvecLimite ,4,0.0084,48.97589663,1.72E-04
conv ,4,0.0112,48.97589663,2.29E-04,strassen ,4,0.3891,48.97589663,7.94E-03,strassenAvecLimite ,4,0.0078,48.97589663,1.59E-04
conv ,4,0.0127,48.97589663,2.59E-04,strassen ,4,0.3941,48.97589663,8.05E-03,strassenAvecLimite ,4,0.0077,48.97589663,1.57E-04
conv ,4,0.0116,48.97589663,2.37E-04,strassen ,4,0.3524,48.97589663,7.20E-03,strassenAvecLimite ,4,0.0075,48.97589663,1.53E-04
conv ,4,0.0108,48.97589663,2.21E-04,strassen ,4,0.3531,48.97589663,7.21E-03,strassenAvecLimite ,4,0.0087,48.97589663,1.78E-04
conv ,4,0.012,48.97589663,2.45E-04,strassen ,4,0.4096,48.97589663,8.36E-03,strassenAvecLimite ,4,0.009,48.97589663,1.84E-04
conv ,4,0.012,48.97589663,2.45E-04,strassen ,4,0.3613,48.97589663,7.38E-03,strassenAvecLimite ,4,0.0085,48.97589663,1.74E-04
conv ,4,0.0116,48.97589663,2.37E-04,strassen ,4,0.4888,48.97589663,9.98E-03,strassenAvecLimite ,4,0.0087,48.97589663,1.78E-04
conv ,4,0.0139,48.97589663,2.84E-04,strassen ,4,0.3673,48.97589663,7.50E-03,strassenAvecLimite ,4,0.009,48.97589663,1.84E-04
conv ,4,0.0132,48.97589663,2.70E-04,strassen ,4,0.3501,48.97589663,7.15E-03,strassenAvecLimite ,4,0.0086,48.97589663,1.76E-04
conv ,4,0.012,48.97589663,2.45E-04,strassen ,4,0.387,48.97589663,7.90E-03,strassenAvecLimite ,4,0.0082,48.97589663,1.67E-04
conv ,4,0.0118,48.97589663,2.41E-04,strassen ,4,0.3474,48.97589663,7.09E-03,strassenAvecLimite ,4,0.009,48.97589663,1.84E-04
conv ,4,0.012,48.97589663,2.45E-04,strassen ,4,0.3938,48.97589663,8.04E-03,strassenAvecLimite ,4,0.0085,48.97589663,1.74E-04
conv ,4,0.0126,48.97589663,2.57E-04,strassen ,4,0.3471,48.97589663,7.09E-03,strassenAvecLimite ,4,0.0109,48.97589663,2.23E-04
conv ,4,0.0129,48.97589663,2.63E-04,strassen ,4,0.476,48.97589663,9.72E-03,strassenAvecLimite ,4,0.009,48.97589663,1.84E-04
conv ,4,0.0136,48.97589663,2.78E-04,strassen ,4,0.4017,48.97589663,8.20E-03,strassenAvecLimite ,4,0.0084,48.97589663,1.72E-04
