algo,nb_nodes,time,ans
branch_bound,2,0.036449999999999996,2.0
branch_bound,3,0.09736,3.0
branch_bound,4,0.13159,3.7
branch_bound,5,0.15223,4.3
branch_bound,6,0.15784,5.2
branch_bound,7,0.17987,5.5
branch_bound,8,0.24949,6.3
branch_bound,9,0.26246,7.0
branch_bound,10,0.36325,7.9
branch_bound,11,0.36567,8.2
branch_bound,12,0.43637,8.8
branch_bound,13,0.49068000000000006,9.0
branch_bound,14,0.51617,9.7
branch_bound,15,0.56547,10.0
branch_bound,16,0.6814,10.3
branch_bound,17,0.76396,10.4
branch_bound,18,0.9863900000000001,11.1
branch_bound,19,0.87421,11.3
branch_bound,20,1.14078,12.0
branch_bound,21,2.0062699999999998,12.7
branch_bound,22,1.85368,13.0
branch_bound,23,1.7374800000000001,13.0
branch_bound,24,2.16904,13.2
branch_bound,25,2.2885999999999997,14.2
branch_bound,26,2.01167,14.3
branch_bound,27,3.0926400000000003,14.7
branch_bound,28,2.7715899999999998,15.1
branch_bound,29,4.05222,15.5
branch_bound,30,4.42513,16.2
branch_bound,31,3.8918499999999994,16.6
branch_bound,32,4.00924,16.6
branch_bound,33,5.37471,17.1
branch_bound,34,7.5922,17.3
branch_bound,35,6.7997,17.5
branch_bound,36,16.865789999999997,17.8
branch_bound,37,15.608099999999999,18.3
branch_bound,38,15.987260000000001,18.7
branch_bound,39,17.69233,19.0
branch_bound,40,24.64202,19.8
branch_bound,41,22.543219999999998,19.8
branch_bound,42,52.67636,20.2
branch_bound,43,25.95552,20.5
branch_bound,44,68.00762,21.0
branch_bound,45,43.570530000000005,21.2
branch_bound,46,84.49465000000001,21.7
branch_bound,47,72.82567,22.1
branch_bound,48,172.07492000000002,22.2
branch_bound,49,316.01887999999997,22.2
branch_bound,50,341.38454,22.9
branch_bound,51,737.9103400000001,22.8
branch_bound,52,995.90162,23.2
branch_bound,53,1535.7208999999998,23.6
branch_bound,54,1096.31906,23.9
branch_bound,55,3925.3556299999996,24.4
branch_bound,56,1506.63788,24.3
branch_bound,57,2417.50541,24.6
branch_bound,58,1530.5688,24.9
branch_bound,59,17627.4799,25.6
branch_bound,60,6541.2282000000005,25.6
branch_bound,61,5686.52977,25.9
branch_bound,62,20512.348,26.5
branch_bound,63,10295.7902,26.4
branch_bound,64,22826.63852,27.2
branch_bound,65,22309.94,27.3
branch_bound,66,21025.96242,27.4
branch_bound,67,21967.553,27.8
glouton,2,0.02532,2.0
glouton,3,0.03034,3.0
glouton,4,0.037380000000000004,3.7
glouton,5,0.05286,4.3
glouton,6,0.057940000000000005,5.2
glouton,7,0.062419999999999996,5.5
glouton,8,0.07039999999999999,6.3
glouton,9,0.07321,7.0
glouton,10,0.10155,7.9
glouton,11,0.11140000000000001,8.2
glouton,12,0.13499,8.8
glouton,13,0.13891,9.1
glouton,14,0.14768,9.7
glouton,15,0.24055999999999997,10.1
glouton,16,0.17065000000000002,10.4
glouton,17,0.19290000000000002,10.4
glouton,18,0.2103,11.3
glouton,19,0.22464,11.4
glouton,20,0.24819999999999998,12.1
glouton,21,0.28803999999999996,12.8
glouton,22,0.30273,13.1
glouton,23,0.30512,13.2
glouton,24,0.32474,13.5
glouton,25,0.36338,14.5
glouton,26,0.42546,14.4
glouton,27,0.42821999999999993,15.1
glouton,28,0.44088000000000005,15.2
glouton,29,0.49040999999999996,15.9
glouton,30,0.54286,16.8
glouton,31,0.56993,16.9
glouton,32,0.56303,17.1
glouton,33,0.6204500000000001,17.4
glouton,34,0.6405700000000001,17.7
glouton,35,0.68276,18.0
glouton,36,0.72569,18.6
glouton,37,0.76063,19.2
glouton,38,0.79976,20.1
glouton,39,0.8690300000000001,20.2
glouton,40,0.90894,20.4
glouton,41,0.8828900000000001,20.6
glouton,42,0.95732,21.1
glouton,43,0.98766,21.7
glouton,44,1.29277,22.2
glouton,45,1.0997400000000002,22.5
glouton,46,1.10255,23.6
glouton,47,1.1375,23.1
glouton,48,1.2081,23.4
glouton,49,1.21465,24.1
glouton,50,1.31356,24.7
glouton,51,1.32728,24.7
glouton,52,1.3641,25.0
glouton,53,1.4218899999999999,25.7
glouton,54,1.5976000000000001,26.3
glouton,55,1.53026,26.4
glouton,56,1.6652799999999999,27.2
glouton,57,1.7248999999999999,27.3
glouton,58,1.98386,27.1
glouton,59,1.69149,28.6
glouton,60,1.77967,28.2
glouton,61,1.8787800000000001,28.9
glouton,62,1.86602,28.8
glouton,63,2.03584,29.9
glouton,64,2.2055499999999997,30.4
glouton,65,2.057,30.5
glouton,66,2.3481899999999998,31.4
glouton,67,2.27059,31.3
glouton,68,2.3519099999999997,31.8
glouton,69,2.55653,32.2
glouton,70,2.62312,32.8
glouton,71,2.6737,32.8
glouton,72,2.63888,33.5
glouton,73,2.7476,34.4
glouton,74,2.90629,35.1
glouton,75,2.9131299999999998,35.1
glouton,76,2.87712,35.3
glouton,77,3.01131,35.8
glouton,78,3.03265,35.9
glouton,79,3.5403399999999996,36.0
glouton,80,3.9582900000000003,36.0
glouton,81,3.50107,37.0
glouton,82,3.64525,36.7
glouton,83,3.38451,37.7
glouton,84,3.4799999999999995,37.6
glouton,85,3.61453,38.8
glouton,86,3.8352899999999996,39.4
glouton,87,3.7801099999999996,39.0
glouton,88,3.77743,39.8
glouton,89,4.15455,40.7
glouton,90,4.05101,41.3
glouton,91,4.22395,42.0
glouton,92,4.217029999999999,41.2
glouton,93,4.39886,42.1
glouton,94,4.41441,42.1
glouton,95,4.72783,43.2
glouton,96,4.626250000000001,42.2
glouton,97,4.63633,43.4
glouton,98,4.75665,43.3
glouton,99,4.8148800000000005,43.4
glouton,100,4.93806,44.1
glouton,101,5.69881,44.6
glouton,102,5.340590000000001,45.1
glouton,103,5.30487,45.9
glouton,104,5.4323,45.3
glouton,105,5.651,46.4
glouton,106,6.18897,46.1
glouton,107,6.13664,46.6
glouton,108,5.793740000000001,47.3
glouton,109,6.10569,48.4
glouton,110,6.12727,48.1
glouton,111,6.24099,48.4
glouton,112,6.52389,48.6
glouton,113,6.45591,49.8
glouton,114,6.4498999999999995,49.4
glouton,115,6.848940000000001,49.2
glouton,116,6.898949999999999,50.7
glouton,117,6.87867,49.4
glouton,118,6.842440000000001,50.3
glouton,119,6.96184,51.5
glouton,120,7.257599999999999,51.4
glouton,121,7.50291,51.2
glouton,122,7.32852,52.1
glouton,123,7.63603,52.6
glouton,124,7.6163,53.5
glouton,125,8.13185,53.5
glouton,126,8.03749,53.9
glouton,127,8.09326,52.5
glouton,128,8.50442,55.0
glouton,129,8.30678,55.2
glouton,130,8.44323,55.4
glouton,131,8.548919999999999,55.5
glouton,132,9.71904,54.5
glouton,133,8.67209,56.0
glouton,134,9.522499999999999,56.1
glouton,135,8.98478,56.9
glouton,136,9.104220000000002,57.3
glouton,137,9.07607,57.4
glouton,138,9.64772,57.8
glouton,139,9.64113,58.2
glouton,140,9.65911,59.0
glouton,141,9.67303,59.3
glouton,142,9.928180000000001,59.0
glouton,143,10.07564,59.7
glouton,144,10.33268,60.0
glouton,145,10.87045,61.4
glouton,146,10.58001,60.3
glouton,147,10.615129999999999,61.4
glouton,148,10.838370000000001,61.6
glouton,149,11.95851,61.0
glouton,150,11.18622,60.9
glouton,151,12.575790000000001,61.8
glouton,152,11.37045,61.9
glouton,153,11.67567,63.0
glouton,154,12.0387,63.3
glouton,155,12.09515,64.6
glouton,156,14.43401,65.0
glouton,157,13.07453,65.0
glouton,158,12.44957,65.3
glouton,159,12.30548,64.6
glouton,160,12.811850000000002,67.1
glouton,161,13.34038,65.7
glouton,162,13.55923,65.3
glouton,163,14.11326,66.7
glouton,164,14.47644,66.9
glouton,165,13.38173,67.0
glouton,166,13.894569999999998,68.0
glouton,167,13.968950000000001,68.7
glouton,168,14.308879999999998,68.3
glouton,169,14.296019999999999,68.4
glouton,170,14.30694,68.8
glouton,171,14.847819999999999,69.9
glouton,172,16.55757,68.6
glouton,173,15.146180000000001,69.3
glouton,174,16.340780000000002,70.5
glouton,175,16.34674,69.5
glouton,176,15.789019999999999,70.7
glouton,177,15.97817,71.3
glouton,178,15.814839999999998,71.4
glouton,179,16.81219,71.3
glouton,180,17.39985,72.7
glouton,181,16.74167,73.2
glouton,182,17.62405,73.0
glouton,183,17.2853,73.5
glouton,184,17.43417,73.3
glouton,185,19.24476,73.8
glouton,186,19.2969,75.9
glouton,187,28.22122,75.4
glouton,188,20.768369999999997,74.3
glouton,189,20.87595,74.6
glouton,190,19.2643,75.3
glouton,191,22.23872,75.6
glouton,192,26.577859999999998,76.1
glouton,193,19.70943,75.5
glouton,194,20.517339999999997,76.4
glouton,195,35.61797,77.2
glouton,196,26.67851,77.6
glouton,197,20.74463,76.7
glouton,198,20.83785,78.3
glouton,199,20.86249,78.4
glouton,200,21.137629999999998,79.0
glouton,201,21.19866,78.4
glouton,202,22.13142,79.7
glouton,203,22.29156,79.5
glouton,204,22.66686,80.2
glouton,205,21.96328,80.1
glouton,206,22.14427,80.9
glouton,207,22.75533,81.4
glouton,208,22.93729,82.2
glouton,209,23.75631,81.6
glouton,210,23.41011,82.4
glouton,211,23.1822,83.5
glouton,212,24.558500000000002,84.2
glouton,213,23.329230000000003,83.3
glouton,214,24.061799999999998,82.7
glouton,215,25.74004,84.9
