nb_nodes,seed,algo,time
2,0,glouton,0.0245
2,1,glouton,0.0233
2,2,glouton,0.0228
2,3,glouton,0.0384
2,4,glouton,0.0237
2,5,glouton,0.0241
2,6,glouton,0.0243
2,7,glouton,0.0247
2,8,glouton,0.0238
2,9,glouton,0.0236
3,0,glouton,0.0342
3,1,glouton,0.0275
3,2,glouton,0.0275
3,3,glouton,0.0274
3,4,glouton,0.0349
3,5,glouton,0.0287
3,6,glouton,0.0277
3,7,glouton,0.0332
3,8,glouton,0.0341
3,9,glouton,0.0282
4,0,glouton,0.039
4,1,glouton,0.0406
4,2,glouton,0.0359
4,3,glouton,0.0383
4,4,glouton,0.0342
4,5,glouton,0.0375
4,6,glouton,0.0373
4,7,glouton,0.0381
4,8,glouton,0.0374
4,9,glouton,0.0355
5,0,glouton,0.0473
5,1,glouton,0.0361
5,2,glouton,0.0495
5,3,glouton,0.0503
5,4,glouton,0.0591
5,5,glouton,0.0657
5,6,glouton,0.0532
5,7,glouton,0.0571
5,8,glouton,0.0633
5,9,glouton,0.047
6,0,glouton,0.0532
6,1,glouton,0.0547
6,2,glouton,0.0558
6,3,glouton,0.0528
6,4,glouton,0.0649
6,5,glouton,0.0598
6,6,glouton,0.0566
6,7,glouton,0.0655
6,8,glouton,0.0571
6,9,glouton,0.059
7,0,glouton,0.0662
7,1,glouton,0.0599
7,2,glouton,0.0636
7,3,glouton,0.0561
7,4,glouton,0.0622
7,5,glouton,0.0594
7,6,glouton,0.0716
7,7,glouton,0.0672
7,8,glouton,0.0583
7,9,glouton,0.0597
8,0,glouton,0.0648
8,1,glouton,0.0598
8,2,glouton,0.0643
8,3,glouton,0.0567
8,4,glouton,0.0669
8,5,glouton,0.0635
8,6,glouton,0.0671
8,7,glouton,0.0658
8,8,glouton,0.0645
8,9,glouton,0.1306
9,0,glouton,0.0716
9,1,glouton,0.0714
9,2,glouton,0.0715
9,3,glouton,0.0684
9,4,glouton,0.0718
9,5,glouton,0.0708
9,6,glouton,0.0848
9,7,glouton,0.0763
9,8,glouton,0.0704
9,9,glouton,0.0751
10,0,glouton,0.0924
10,1,glouton,0.0796
10,2,glouton,0.0952
10,3,glouton,0.0814
10,4,glouton,0.0954
10,5,glouton,0.0969
10,6,glouton,0.0985
10,7,glouton,0.1172
10,8,glouton,0.1351
10,9,glouton,0.1238
11,0,glouton,0.127
11,1,glouton,0.1073
11,2,glouton,0.1158
11,3,glouton,0.0896
11,4,glouton,0.1083
11,5,glouton,0.1087
11,6,glouton,0.1126
11,7,glouton,0.1137
11,8,glouton,0.1098
11,9,glouton,0.1212
12,0,glouton,0.1324
12,1,glouton,0.193
12,2,glouton,0.1271
12,3,glouton,0.1187
12,4,glouton,0.1155
12,5,glouton,0.1275
12,6,glouton,0.1181
12,7,glouton,0.1762
12,8,glouton,0.1178
12,9,glouton,0.1236
13,0,glouton,0.1157
13,1,glouton,0.177
13,2,glouton,0.1327
13,3,glouton,0.1288
13,4,glouton,0.141
13,5,glouton,0.1386
13,6,glouton,0.1415
13,7,glouton,0.1276
13,8,glouton,0.1419
13,9,glouton,0.1443
14,0,glouton,0.1233
14,1,glouton,0.1306
14,2,glouton,0.132
14,3,glouton,0.1586
14,4,glouton,0.1675
14,5,glouton,0.1665
14,6,glouton,0.1538
14,7,glouton,0.1482
14,8,glouton,0.1468
14,9,glouton,0.1495
15,0,glouton,0.1523
15,1,glouton,0.1541
