nb_nodes,seed,algo,time,ans
2,0,glouton,0.0245,2
2,1,glouton,0.0233,2
2,2,glouton,0.0228,2
2,3,glouton,0.0384,2
2,4,glouton,0.0237,2
2,5,glouton,0.0241,2
2,6,glouton,0.0243,2
2,7,glouton,0.0247,2
2,8,glouton,0.0238,2
2,9,glouton,0.0236,2
3,0,glouton,0.0342,3
3,1,glouton,0.0275,3
3,2,glouton,0.0275,3
3,3,glouton,0.0274,3
3,4,glouton,0.0349,3
3,5,glouton,0.0287,3
3,6,glouton,0.0277,3
3,7,glouton,0.0332,3
3,8,glouton,0.0341,3
3,9,glouton,0.0282,3
4,0,glouton,0.039,4
4,1,glouton,0.0406,3
4,2,glouton,0.0359,3
4,3,glouton,0.0383,4
4,4,glouton,0.0342,4
4,5,glouton,0.0375,4
4,6,glouton,0.0373,4
4,7,glouton,0.0381,4
4,8,glouton,0.0374,4
4,9,glouton,0.0355,3
5,0,glouton,0.0473,5
5,1,glouton,0.0361,3
5,2,glouton,0.0495,4
5,3,glouton,0.0503,4
5,4,glouton,0.0591,5
5,5,glouton,0.0657,4
5,6,glouton,0.0532,5
5,7,glouton,0.0571,5
5,8,glouton,0.0633,4
5,9,glouton,0.047,4
6,0,glouton,0.0532,6
6,1,glouton,0.0547,5
6,2,glouton,0.0558,5
6,3,glouton,0.0528,4
6,4,glouton,0.0649,6
6,5,glouton,0.0598,5
6,6,glouton,0.0566,6
6,7,glouton,0.0655,6
6,8,glouton,0.0571,5
6,9,glouton,0.059,4
7,0,glouton,0.0662,6
7,1,glouton,0.0599,5
7,2,glouton,0.0636,5
7,3,glouton,0.0561,4
7,4,glouton,0.0622,6
7,5,glouton,0.0594,5
7,6,glouton,0.0716,7
7,7,glouton,0.0672,7
7,8,glouton,0.0583,5
7,9,glouton,0.0597,5
8,0,glouton,0.0648,6
8,1,glouton,0.0598,5
8,2,glouton,0.0643,6
8,3,glouton,0.0567,5
8,4,glouton,0.0669,7
8,5,glouton,0.0635,6
8,6,glouton,0.0671,7
8,7,glouton,0.0658,7
8,8,glouton,0.0645,7
