nb_nodes,seed,algo,time
2,0,branch_bound,0.0313
2,1,branch_bound,0.0303
2,2,branch_bound,0.0294
2,3,branch_bound,0.0295
2,4,branch_bound,0.0295
2,5,branch_bound,0.0298
2,6,branch_bound,0.0293
2,7,branch_bound,0.0293
2,8,branch_bound,0.0288
2,9,branch_bound,0.0309
3,0,branch_bound,0.0882
3,1,branch_bound,0.1038
3,2,branch_bound,0.0912
3,3,branch_bound,0.0979
3,4,branch_bound,0.1006
3,5,branch_bound,0.0899
3,6,branch_bound,0.095
3,7,branch_bound,0.1282
3,8,branch_bound,0.0902
3,9,branch_bound,0.0886
4,0,branch_bound,0.1236
4,1,branch_bound,0.0916
4,2,branch_bound,0.0942
4,3,branch_bound,0.1056
4,4,branch_bound,0.1055
4,5,branch_bound,0.1012
4,6,branch_bound,0.1044
4,7,branch_bound,0.1092
4,8,branch_bound,0.1102
4,9,branch_bound,0.0922
5,0,branch_bound,0.1592
5,1,branch_bound,0.1064
5,2,branch_bound,0.1412
5,3,branch_bound,0.1346
5,4,branch_bound,0.1419
5,5,branch_bound,0.1381
5,6,branch_bound,0.1426
5,7,branch_bound,0.1425
5,8,branch_bound,0.1344
5,9,branch_bound,0.1261
6,0,branch_bound,0.1693
6,1,branch_bound,0.1521
6,2,branch_bound,0.1518
6,3,branch_bound,0.1323
6,4,branch_bound,0.3009
6,5,branch_bound,0.1665
6,6,branch_bound,0.182
6,7,branch_bound,0.166
6,8,branch_bound,0.1624
6,9,branch_bound,0.1399
7,0,branch_bound,0.1962
7,1,branch_bound,0.1695
7,2,branch_bound,0.1809
7,3,branch_bound,0.2512
7,4,branch_bound,0.1911
7,5,branch_bound,0.1688
7,6,branch_bound,0.2174
7,7,branch_bound,0.2147
7,8,branch_bound,0.1749
7,9,branch_bound,0.1635
8,0,branch_bound,0.2123
8,1,branch_bound,0.1815
8,2,branch_bound,0.2233
8,3,branch_bound,0.1991
8,4,branch_bound,0.2307
8,5,branch_bound,0.2103
8,6,branch_bound,0.2336
8,7,branch_bound,0.3582
8,8,branch_bound,0.2272
8,9,branch_bound,0.2386
9,0,branch_bound,0.2585
9,1,branch_bound,0.2443
9,2,branch_bound,0.2541
9,3,branch_bound,0.1927
9,4,branch_bound,0.2548
9,5,branch_bound,0.2551
9,6,branch_bound,0.2508
9,7,branch_bound,0.2816
9,8,branch_bound,0.2382
9,9,branch_bound,0.2919
10,0,branch_bound,0.3379
10,1,branch_bound,0.2735
10,2,branch_bound,0.3361
10,3,branch_bound,0.2557
10,4,branch_bound,0.2811
10,5,branch_bound,0.3756
10,6,branch_bound,0.3358
10,7,branch_bound,0.3547
10,8,branch_bound,0.3465
10,9,branch_bound,0.372
11,0,branch_bound,0.3293
11,1,branch_bound,0.3313
11,2,branch_bound,0.3765
11,3,branch_bound,0.286
11,4,branch_bound,0.3598
11,5,branch_bound,0.2828
11,6,branch_bound,0.3281
11,7,branch_bound,0.381
11,8,branch_bound,0.3406
11,9,branch_bound,0.4054
12,0,branch_bound,0.3444
12,1,branch_bound,0.3831
12,2,branch_bound,0.3902
12,3,branch_bound,0.3802
12,4,branch_bound,0.3962
12,5,branch_bound,0.4189
12,6,branch_bound,0.3651
12,7,branch_bound,0.4083
12,8,branch_bound,0.3943
12,9,branch_bound,0.4915
13,0,branch_bound,0.4626
13,1,branch_bound,0.3848
13,2,branch_bound,0.4586
13,3,branch_bound,0.5041
13,4,branch_bound,0.546
13,5,branch_bound,0.4366
13,6,branch_bound,0.5225
13,7,branch_bound,0.4184
13,8,branch_bound,0.4168
13,9,branch_bound,0.4744
14,0,branch_bound,0.4321
14,1,branch_bound,0.4378
14,2,branch_bound,0.4312
14,3,branch_bound,0.5196
14,4,branch_bound,0.4916
14,5,branch_bound,0.4734
14,6,branch_bound,0.5379
14,7,branch_bound,0.4972
14,8,branch_bound,0.4975
14,9,branch_bound,0.5078
15,0,branch_bound,0.4825
15,1,branch_bound,0.4444
15,2,branch_bound,0.6314
15,3,branch_bound,0.4952
15,4,branch_bound,0.6325
15,5,branch_bound,0.7429
15,6,branch_bound,0.476
15,7,branch_bound,0.5684
15,8,branch_bound,0.6339
15,9,branch_bound,0.4954
16,0,branch_bound,0.6847
16,1,branch_bound,0.7193
16,2,branch_bound,0.5864
16,3,branch_bound,0.6341
16,4,branch_bound,0.6145
16,5,branch_bound,0.5255
16,6,branch_bound,0.724
16,7,branch_bound,0.6148
16,8,branch_bound,0.9196
16,9,branch_bound,0.6906
17,0,branch_bound,0.6942
17,1,branch_bound,0.5767
17,2,branch_bound,0.679
17,3,branch_bound,0.5807
17,4,branch_bound,0.6628
17,5,branch_bound,0.5594
17,6,branch_bound,0.7939
17,7,branch_bound,0.6943
17,8,branch_bound,0.7507
17,9,branch_bound,0.5661
18,0,branch_bound,0.9839
18,1,branch_bound,1.0159
18,2,branch_bound,0.7547
18,3,branch_bound,0.8855
18,4,branch_bound,0.7366
18,5,branch_bound,1.0267
18,6,branch_bound,0.7925
18,7,branch_bound,0.715
18,8,branch_bound,0.7129
18,9,branch_bound,0.935
19,0,branch_bound,0.7131
19,1,branch_bound,0.8862
19,2,branch_bound,0.7314
19,3,branch_bound,0.7756
19,4,branch_bound,1.0324
19,5,branch_bound,0.6306
19,6,branch_bound,0.9481
19,7,branch_bound,0.7124
19,8,branch_bound,0.7623
19,9,branch_bound,0.8151
20,0,branch_bound,0.826
20,1,branch_bound,1.2147
20,2,branch_bound,0.9364
20,3,branch_bound,1.2838
20,4,branch_bound,0.9375
20,5,branch_bound,1.2921
20,6,branch_bound,1.0409
20,7,branch_bound,1.0975
20,8,branch_bound,0.8602
20,9,branch_bound,1.469
21,0,branch_bound,0.8949
21,1,branch_bound,0.8814
21,2,branch_bound,2.0702
21,3,branch_bound,1.1122
21,4,branch_bound,1.4259
21,5,branch_bound,0.8394
21,6,branch_bound,1.8549
21,7,branch_bound,1.3725
21,8,branch_bound,0.9155
21,9,branch_bound,1.46
22,0,branch_bound,1.0096
22,1,branch_bound,1.2668
22,2,branch_bound,1.8001
22,3,branch_bound,1.1248
22,4,branch_bound,1.5949
22,5,branch_bound,0.9898
22,6,branch_bound,1.1541
22,7,branch_bound,1.4133
22,8,branch_bound,1.7482
22,9,branch_bound,1.3261
23,0,branch_bound,1.0288
23,1,branch_bound,1.283
23,2,branch_bound,1.5066
23,3,branch_bound,0.9334
23,4,branch_bound,1.0257
23,5,branch_bound,1.075
23,6,branch_bound,1.534
23,7,branch_bound,1.6339
23,8,branch_bound,1.4469
23,9,branch_bound,1.3607
24,0,branch_bound,1.6303
24,1,branch_bound,3.158
24,2,branch_bound,1.7127
24,3,branch_bound,0.9593
24,4,branch_bound,2.7514
24,5,branch_bound,0.9687
24,6,branch_bound,1.0483
24,7,branch_bound,1.2737
24,8,branch_bound,1.7825
24,9,branch_bound,1.4222
25,0,branch_bound,2.291
25,1,branch_bound,1.9932
25,2,branch_bound,2.9357
25,3,branch_bound,1.6004
25,4,branch_bound,2.1668
25,5,branch_bound,1.9813
25,6,branch_bound,0.9594
25,7,branch_bound,1.25
25,8,branch_bound,1.4043
25,9,branch_bound,2.1881
26,0,branch_bound,1.3982
26,1,branch_bound,1.8035
26,2,branch_bound,3.9669
26,3,branch_bound,1.1591
26,4,branch_bound,0.9991
26,5,branch_bound,1.4987
26,6,branch_bound,1.4582
26,7,branch_bound,1.5227
26,8,branch_bound,1.8824
26,9,branch_bound,1.2698
27,0,branch_bound,1.5161
27,1,branch_bound,1.8126
27,2,branch_bound,3.8097
27,3,branch_bound,1.346
27,4,branch_bound,2.3109
27,5,branch_bound,1.7245
27,6,branch_bound,3.1649
27,7,branch_bound,4.386
27,8,branch_bound,3.17
27,9,branch_bound,3.3934
28,0,branch_bound,1.4955
28,1,branch_bound,2.3057
28,2,branch_bound,2.0077
28,3,branch_bound,1.7756
28,4,branch_bound,7.0783
28,5,branch_bound,1.4073
28,6,branch_bound,3.0089
28,7,branch_bound,2.8004
28,8,branch_bound,2.6182
28,9,branch_bound,2.5935
29,0,branch_bound,2.8848
29,1,branch_bound,1.7843
29,2,branch_bound,3.1908
29,3,branch_bound,1.6445
29,4,branch_bound,12.1869
29,5,branch_bound,1.5736
29,6,branch_bound,1.737
